ticket_row_key,snapshot_id,row_number,ticket_id,client_key,priority_key,priority_raw,priority_display,status_key,status_raw,status_display,status_group,assigned_to,ticket_type,category,summary,created_at,first_response_at,resolved_at,status_updated_at,sla_eligible,response_sla_eligible,resolve_sla_eligible,is_open,is_closed,age_hours,waiting_hours,response_deadline,response_elapsed_hours,response_remaining_hours,response_overdue_hours,response_breached,resolve_deadline,resolve_elapsed_hours,resolve_remaining_hours,resolve_overdue_hours,resolve_breached,has_any_breach,has_approaching,approaching_response,approaching_resolve,is_ageing,is_waiting_attention,is_unassigned,is_dq_blocking_sla,is_python_attention,python_reason_rule_ids,dq_rule_ids,kpi_open,kpi_breached,kpi_approaching,kpi_ageing,kpi_ageing_python,exclusive_kpi_bucket,in_action_table,primary_reason_key,primary_reason_label,reason_sort,deadline,overdue_hours,remaining_hours,primary_clock_kind,why_for_attention,data_disclaimer
12:TCK-1011,demo-2026-09-19T12-00-00Z,12,TCK-1011,CUST-A,P1,P1,P1,closed,closed,closed,Closed,alice,incident,malware,Synthetic P1 closed on time (negative control),2026-09-19T08:00:00+00:00,2026-09-19T08:05:00+00:00,2026-09-19T10:00:00+00:00,,1,1,1,0,1,4,,2026-09-19T08:15:00+00:00,0.0833,0.1667,0,0,2026-09-19T12:00:00+00:00,2,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
13:TCK-1012,demo-2026-09-19T12-00-00Z,13,TCK-1012,CUST-E,P3,P3,P3,open,open,open,Open,,request,access,Synthetic unassigned open P3,2026-09-19T09:00:00+00:00,2026-09-19T11:00:00+00:00,,,1,1,1,1,0,3,,2026-09-19T13:00:00+00:00,2,2,0,0,2026-09-20T09:00:00+00:00,3,21,0,0,0,0,0,0,0,0,1,0,1,ATTENTION-UNASSIGNED,,1,0,0,0,0,,1,UNASSIGNED,Unassigned,6,,,,,open ticket has an empty assigned_to field.,Synthetic demonstration data
14:TCK-1013,demo-2026-09-19T12-00-00Z,14,TCK-1013,CUST-B,P2,P2,P2,open,open,open,Open,bob,incident,phishing,Synthetic unparseable created_at,,,,,0,0,0,1,0,,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-AMBIGUOUS-TIMESTAMP,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
15:TCK-1014,demo-2026-09-19T12-00-00Z,15,TCK-1014,CUST-A,P1,P1,P1,resolved,resolved,resolved,Closed,alice,incident,malware,Synthetic P1 first response 1h after create (15m SLA),2026-09-19T06:00:00+00:00,2026-09-19T07:00:00+00:00,2026-09-19T09:00:00+00:00,,1,1,1,0,1,6,,2026-09-19T06:15:00+00:00,1,-0.75,0.75,1,2026-09-19T10:00:00+00:00,3,1,0,0,1,0,0,0,0,0,0,0,1,ATTENTION-P1P2-CLOSED-BREACH,,0,1,0,0,0,breached,1,BREACHED_CLOSED,SLA breached (closed P1/P2),2,2026-09-19T06:15:00+00:00,0.75,0,response,closed/resolved P1/P2 ticket breached an SLA (historical).,Synthetic demonstration data
16:TCK-1015,demo-2026-09-19T12-00-00Z,16,TCK-1015,CUST-C,P1,P1,P1,in_progress,in_progress,in_progress,Open,cara,incident,ransomware,Synthetic P1 with 0.5h left on 4h resolve SLA,2026-09-19T08:30:00+00:00,2026-09-19T08:35:00+00:00,,,1,1,1,1,0,3.5,,2026-09-19T08:45:00+00:00,0.0833,0.1667,0,0,2026-09-19T12:30:00+00:00,3.5,0.5,0,0,0,1,0,1,0,0,0,0,1,ATTENTION-APPROACHING-P1P2,,1,0,1,0,0,approaching,1,APPROACHING,Approaching deadline,3,2026-09-19T12:30:00+00:00,0,0.5,resolve,Still open and 0.5h remain before the P1 resolve deadline (4.0h window).,Synthetic demonstration data
17:TCK-1016,demo-2026-09-19T12-00-00Z,17,TCK-1016,CUST-E,P2,High,P2,investigating,investigating,investigating,Open,erin,alert,ids,Synthetic P2 alias High; resolve remaining 7h (not approaching),2026-09-19T11:00:00+00:00,2026-09-19T11:10:00+00:00,,,1,1,1,1,0,1,,2026-09-19T12:00:00+00:00,0.1667,0.8333,0,0,2026-09-19T19:00:00+00:00,1,7,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
18:TCK-1017,demo-2026-09-19T12-00-00Z,18,TCK-1017,CUST-A,P2,P2,P2,waiting_customer,waiting_customer,waiting_customer,Open,alice,incident,phishing,Synthetic waiting_customer without status_updated_at,2026-09-18T12:00:00+00:00,2026-09-18T12:20:00+00:00,,,1,1,1,1,0,24,,2026-09-18T13:00:00+00:00,0.3333,0.6667,0,0,2026-09-18T20:00:00+00:00,24,-16,16,1,1,0,0,0,0,0,0,0,1,ATTENTION-OPEN-BREACH,DQ-AMBIGUOUS-WAIT-CLOCK,1,1,0,0,0,breached,1,BREACHED_OPEN,SLA breached (open),1,2026-09-18T20:00:00+00:00,16,0,resolve,open ticket has at least one SLA breach.,Synthetic demonstration data
19:TCK-1018,demo-2026-09-19T12-00-00Z,19,TCK-1018,CUST-D,P3,P3,P3,closed,closed,closed,Closed,dana,request,hardening,Synthetic closed without resolved_at,2026-09-19T07:00:00+00:00,2026-09-19T07:10:00+00:00,,,1,1,0,0,1,5,,2026-09-19T11:00:00+00:00,0.1667,3.8333,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,DQ-MISSING-RESOLVED-AT,0,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
20:TCK-1019,demo-2026-09-19T12-00-00Z,20,TCK-1019,CUST-B,P2,P2,P2,open,open,open,Open,bob,incident,malware,Synthetic first_response_at before created_at,2026-09-19T09:00:00+00:00,2026-09-19T08:00:00+00:00,,,0,0,0,1,0,3,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-TIMELINE-INCONSISTENT,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
21:TCK-1020,demo-2026-09-19T12-00-00Z,21,TCK-1020,CUST-E,P4,Low,P4,open,open,open,Open,erin,request,logging,Synthetic P4 alias Low; open 96h ageing backlog,2026-09-15T12:00:00+00:00,2026-09-15T13:00:00+00:00,,,0,0,0,1,0,96,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-DUPLICATE-TICKET-ID,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
22:TCK-1020,demo-2026-09-19T12-00-00Z,22,TCK-1020,CUST-E,P4,P4,P4,open,open,open,Open,erin,request,logging,Synthetic duplicate ticket_id of TCK-1020,2026-09-19T10:00:00+00:00,,,,0,0,0,1,0,2,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-DUPLICATE-TICKET-ID,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
23:TCK-1021,demo-2026-09-19T12-00-00Z,23,TCK-1021,CUST-C,P1,Critical,P1,open,open,open,Open,,incident,ransomware,Synthetic P1 alias Critical; unassigned and response-breached,2026-09-19T04:00:00+00:00,,,,1,1,1,1,0,8,,2026-09-19T04:15:00+00:00,8,-7.75,7.75,1,2026-09-19T08:00:00+00:00,8,-4,4,1,1,0,0,0,0,0,1,0,1,ATTENTION-OPEN-BREACH|ATTENTION-UNASSIGNED,,1,1,0,0,0,breached,1,BREACHED_OPEN,SLA breached (open),1,2026-09-19T04:15:00+00:00,7.75,0,response,open ticket has at least one SLA breach; open ticket has an empty assigned_to field.,Synthetic demonstration data
24:ROW-24,demo-2026-09-19T12-00-00Z,24,ROW-24,CUST-D,P3,P3,P3,open,open,open,Open,dana,alert,ids,Synthetic row with empty ticket_id,2026-09-19T10:00:00+00:00,,,,0,0,0,1,0,2,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-MISSING-TICKET-ID,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
25:TCK-1022,demo-2026-09-19T12-00-00Z,25,TCK-1022,CUST-A,P1,P1,P1,open,open,open,Open,alice,alert,ids,Synthetic P1 created 7m ago; 8m remain on 15m response (warn band is last 7.5m),2026-09-19T11:53:00+00:00,,,,1,1,1,1,0,0.1167,,2026-09-19T12:08:00+00:00,0.1167,0.1333,0,0,2026-09-19T15:53:00+00:00,0.1167,3.8833,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
26:TCK-1023,demo-2026-09-19T12-00-00Z,26,TCK-1023,CUST-B,P3,medium,P3,in_progress,in_progress,in_progress,Open,bob,incident,vulnerability,Synthetic P3 alias medium; resolve remaining 8h (not approaching),2026-09-18T20:00:00+00:00,2026-09-18T21:00:00+00:00,,,1,1,1,1,0,16,,2026-09-19T00:00:00+00:00,1,3,0,0,2026-09-19T20:00:00+00:00,16,8,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
27:TCK-1024,demo-2026-09-19T12-00-00Z,27,TCK-1024,CUST-C,UNKNOWN,P5,P5 (unknown),open,open,open,Open,cara,incident,unknown,Synthetic unknown priority P5 — not guessed,2026-09-19T06:00:00+00:00,,,,0,0,0,1,0,6,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-UNKNOWN-PRIORITY,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
28:TCK-1025,demo-2026-09-19T12-00-00Z,28,TCK-1025,CUST-D,P2,P2,P2,resolved,resolved,resolved,Closed,dana,incident,phishing,Synthetic P2 resolved on time (2h vs 8h),2026-09-19T03:00:00+00:00,2026-09-19T03:20:00+00:00,2026-09-19T05:00:00+00:00,,1,1,1,0,1,9,,2026-09-19T04:00:00+00:00,0.3333,0.6667,0,0,2026-09-19T11:00:00+00:00,2,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
