evidence_id,ticket_key,ticket_id,finding_family,finding_type,rule_id,why_it_qualifies,computed_deadline,computed_age_hours,clock_elapsed_hours,hours_overdue,hours_remaining,clock_stop_at,customer_id,priority,status,assigned_to,synthetic_flag
approaching_resolve:TCK-1015:SLA-RESOLVE-P1,16,TCK-1015,approaching,approaching_resolve,SLA-RESOLVE-P1,Still open and 0.5h remain before the P1 resolve deadline (4.0h window).,2026-09-19T12:30:00+00:00,3.5,3.5,0.0,0.5,2026-09-19T12:00:00+00:00,CUST-C,P1,in_progress,cara,1
ageing_backlog:TCK-1004:AGEING-BACKLOG-48H,5,TCK-1004,ageing_backlog,ageing_backlog,AGEING-BACKLOG-48H,Ticket is still open and age 72.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,72.0,72.0,24.0,,2026-09-19T12:00:00+00:00,CUST-C,P3,open,cara,1
ageing_backlog:TCK-1006:AGEING-BACKLOG-48H,7,TCK-1006,ageing_backlog,ageing_backlog,AGEING-BACKLOG-48H,Ticket is still open and age 48.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,48.0,48.0,0.0,,2026-09-19T12:00:00+00:00,CUST-D,P4,open,dana,1
ageing_backlog:TCK-1020:AGEING-BACKLOG-48H,21,TCK-1020,ageing_backlog,ageing_backlog,AGEING-BACKLOG-48H,Ticket is still open and age 96.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,96.0,96.0,48.0,,2026-09-19T12:00:00+00:00,CUST-E,P4,open,erin,1
dq:TCK-1007:DQ-UNKNOWN-PRIORITY,8,TCK-1007,data_quality,data_quality,DQ-UNKNOWN-PRIORITY,"priority='Urgent' is not in the documented catalog (P1/Critical, P2/High, P3/Medium, P4/Low). SLA is not guessed.",,,,,,,CUST-A,Urgent,open,alice,1
dq:TCK-1008:DQ-MISSING-CREATED-AT,9,TCK-1008,data_quality,data_quality,DQ-MISSING-CREATED-AT,created_at is missing; response and resolve clocks cannot start.,,,,,,,CUST-B,P1,open,bob,1
dq:TCK-1013:DQ-AMBIGUOUS-TIMESTAMP,14,TCK-1013,data_quality,data_quality,DQ-AMBIGUOUS-TIMESTAMP,created_at='yesterday morning' is not a timezone-aware ISO-8601 timestamp (Invalid isoformat string: 'yesterday morning'). SLA clocks that need this field are skipped.,,,,,,,CUST-B,P2,open,bob,1
dq:TCK-1017:DQ-AMBIGUOUS-WAIT-CLOCK,18,TCK-1017,data_quality,data_quality,DQ-AMBIGUOUS-WAIT-CLOCK,status is waiting_customer but status_updated_at is missing; wait-time attention is not guessed from created_at.,,,,,,,CUST-A,P2,waiting_customer,alice,1
dq:TCK-1018:DQ-MISSING-RESOLVED-AT,19,TCK-1018,data_quality,data_quality,DQ-MISSING-RESOLVED-AT,status is resolved/closed but resolved_at is missing; resolve SLA is not guessed from as_of.,,,,,,,CUST-D,P3,closed,dana,1
dq:TCK-1019:DQ-TIMELINE-INCONSISTENT,20,TCK-1019,data_quality,data_quality,DQ-TIMELINE-INCONSISTENT,first_response_at is earlier than created_at; response SLA is skipped.,,,,,,,CUST-B,P2,open,bob,1
dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-21,21,TCK-1020,data_quality,data_quality,DQ-DUPLICATE-TICKET-ID,ticket_id appears more than once; SLA is skipped because the canonical row cannot be chosen without guessing.,,,,,,,CUST-E,Low,open,erin,1
dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-22,22,TCK-1020,data_quality,data_quality,DQ-DUPLICATE-TICKET-ID,ticket_id appears more than once; SLA is skipped because the canonical row cannot be chosen without guessing.,,,,,,,CUST-E,P4,open,erin,1
dq:ROW-24:DQ-MISSING-TICKET-ID,24,ROW-24,data_quality,data_quality,DQ-MISSING-TICKET-ID,ticket_id is empty; row is not SLA-eligible and is labeled by row number only.,,,,,,,CUST-D,P3,open,dana,1
dq:TCK-1024:DQ-UNKNOWN-PRIORITY,27,TCK-1024,data_quality,data_quality,DQ-UNKNOWN-PRIORITY,"priority='P5' is not in the documented catalog (P1/Critical, P2/High, P3/Medium, P4/Low). SLA is not guessed.",,,,,,,CUST-C,P5,open,cara,1
