evidence_id,snapshot_id,ticket_row_key,ticket_id,finding_type,rule_id,client_key,priority_key,status_key,computed_deadline,hours_overdue,hours_remaining,clock_elapsed_hours,why_it_qualifies,reason_rule_ids,as_of_utc
response_sla_breach:TCK-1001:SLA-RESPONSE-P1,demo-2026-09-19T12-00-00Z,2:TCK-1001,TCK-1001,response_sla_breach,SLA-RESPONSE-P1,CUST-A,P1,open,2026-09-19T10:15:00+00:00,1.75,0,2,"Response clock stopped at as_of (still unanswered) after the P1 response deadline (0.25h from created_at). Elapsed 2.0h, overdue 1.75h.",,2026-09-19T12:00:00+00:00
resolve_sla_breach:TCK-1003:SLA-RESOLVE-P1,demo-2026-09-19T12-00-00Z,4:TCK-1003,TCK-1003,resolve_sla_breach,SLA-RESOLVE-P1,CUST-A,P1,resolved,2026-09-19T00:00:00+00:00,1,0,5,"Resolve clock stopped at resolved_at after the P1 resolve deadline (4.0h from created_at). Elapsed 5.0h, overdue 1.0h.",,2026-09-19T12:00:00+00:00
resolve_sla_breach:TCK-1004:SLA-RESOLVE-P3,demo-2026-09-19T12-00-00Z,5:TCK-1004,TCK-1004,resolve_sla_breach,SLA-RESOLVE-P3,CUST-C,P3,open,2026-09-17T12:00:00+00:00,48,0,72,"Resolve clock stopped at as_of (still open) after the P3 resolve deadline (24.0h from created_at). Elapsed 72.0h, overdue 48.0h.",,2026-09-19T12:00:00+00:00
resolve_sla_breach:TCK-1009:SLA-RESOLVE-P2,demo-2026-09-19T12-00-00Z,10:TCK-1009,TCK-1009,resolve_sla_breach,SLA-RESOLVE-P2,CUST-C,P2,waiting_customer,2026-09-18T18:00:00+00:00,18,0,26,"Resolve clock stopped at as_of (still open) after the P2 resolve deadline (8.0h from created_at). Elapsed 26.0h, overdue 18.0h. waiting_customer does not pause the resolve clock under SLA catalog v1.",,2026-09-19T12:00:00+00:00
response_sla_breach:TCK-1014:SLA-RESPONSE-P1,demo-2026-09-19T12-00-00Z,15:TCK-1014,TCK-1014,response_sla_breach,SLA-RESPONSE-P1,CUST-A,P1,resolved,2026-09-19T06:15:00+00:00,0.75,0,1,"Response clock stopped at first_response_at after the P1 response deadline (0.25h from created_at). Elapsed 1.0h, overdue 0.75h.",,2026-09-19T12:00:00+00:00
resolve_sla_breach:TCK-1017:SLA-RESOLVE-P2,demo-2026-09-19T12-00-00Z,18:TCK-1017,TCK-1017,resolve_sla_breach,SLA-RESOLVE-P2,CUST-A,P2,waiting_customer,2026-09-18T20:00:00+00:00,16,0,24,"Resolve clock stopped at as_of (still open) after the P2 resolve deadline (8.0h from created_at). Elapsed 24.0h, overdue 16.0h. waiting_customer does not pause the resolve clock under SLA catalog v1.",,2026-09-19T12:00:00+00:00
response_sla_breach:TCK-1021:SLA-RESPONSE-P1,demo-2026-09-19T12-00-00Z,23:TCK-1021,TCK-1021,response_sla_breach,SLA-RESPONSE-P1,CUST-C,P1,open,2026-09-19T04:15:00+00:00,7.75,0,8,"Response clock stopped at as_of (still unanswered) after the P1 response deadline (0.25h from created_at). Elapsed 8.0h, overdue 7.75h.",,2026-09-19T12:00:00+00:00
resolve_sla_breach:TCK-1021:SLA-RESOLVE-P1,demo-2026-09-19T12-00-00Z,23:TCK-1021,TCK-1021,resolve_sla_breach,SLA-RESOLVE-P1,CUST-C,P1,open,2026-09-19T08:00:00+00:00,4,0,8,"Resolve clock stopped at as_of (still open) after the P1 resolve deadline (4.0h from created_at). Elapsed 8.0h, overdue 4.0h.",,2026-09-19T12:00:00+00:00
approaching_response:TCK-1005:SLA-RESPONSE-P2,demo-2026-09-19T12-00-00Z,6:TCK-1005,TCK-1005,approaching_response,SLA-RESPONSE-P2,CUST-B,P2,open,2026-09-19T12:15:00+00:00,0,0.25,0.75,Still unanswered and 0.25h remain before the P2 response deadline (1.0h window).,,2026-09-19T12:00:00+00:00
approaching_resolve:TCK-1010:SLA-RESOLVE-P3,demo-2026-09-19T12-00-00Z,11:TCK-1010,TCK-1010,approaching_resolve,SLA-RESOLVE-P3,CUST-D,P3,in_progress,2026-09-19T14:00:00+00:00,0,2,22,Still open and 2.0h remain before the P3 resolve deadline (24.0h window).,,2026-09-19T12:00:00+00:00
approaching_resolve:TCK-1015:SLA-RESOLVE-P1,demo-2026-09-19T12-00-00Z,16:TCK-1015,TCK-1015,approaching_resolve,SLA-RESOLVE-P1,CUST-C,P1,in_progress,2026-09-19T12:30:00+00:00,0,0.5,3.5,Still open and 0.5h remain before the P1 resolve deadline (4.0h window).,,2026-09-19T12:00:00+00:00
ageing_backlog:TCK-1004:AGEING-BACKLOG-48H,demo-2026-09-19T12-00-00Z,5:TCK-1004,TCK-1004,ageing_backlog,AGEING-BACKLOG-48H,CUST-C,P3,open,,24,,72,Ticket is still open and age 72.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,2026-09-19T12:00:00+00:00
ageing_backlog:TCK-1006:AGEING-BACKLOG-48H,demo-2026-09-19T12-00-00Z,7:TCK-1006,TCK-1006,ageing_backlog,AGEING-BACKLOG-48H,CUST-D,P4,open,,0,,48,Ticket is still open and age 48.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,2026-09-19T12:00:00+00:00
ageing_backlog:TCK-1020:AGEING-BACKLOG-48H,demo-2026-09-19T12-00-00Z,21:TCK-1020,TCK-1020,ageing_backlog,AGEING-BACKLOG-48H,CUST-E,P4,open,,48,,96,Ticket is still open and age 96.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,,2026-09-19T12:00:00+00:00
attention:TCK-1001,demo-2026-09-19T12-00-00Z,2:TCK-1001,TCK-1001,attention,ATTENTION-OPEN-BREACH,CUST-A,P1,open,,,,,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,2026-09-19T12:00:00+00:00
attention:TCK-1003,demo-2026-09-19T12-00-00Z,4:TCK-1003,TCK-1003,attention,ATTENTION-P1P2-CLOSED-BREACH,CUST-A,P1,resolved,,,,,closed/resolved P1/P2 ticket breached an SLA (historical).,ATTENTION-P1P2-CLOSED-BREACH,2026-09-19T12:00:00+00:00
attention:TCK-1004,demo-2026-09-19T12-00-00Z,5:TCK-1004,TCK-1004,attention,ATTENTION-OPEN-BREACH,CUST-C,P3,open,,,,,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,2026-09-19T12:00:00+00:00
attention:TCK-1005,demo-2026-09-19T12-00-00Z,6:TCK-1005,TCK-1005,attention,ATTENTION-APPROACHING-P1P2,CUST-B,P2,open,,,,,P1/P2 deadline is approaching.,ATTENTION-APPROACHING-P1P2,2026-09-19T12:00:00+00:00
attention:TCK-1007,demo-2026-09-19T12-00-00Z,8:TCK-1007,TCK-1007,attention,ATTENTION-DATA-QUALITY,CUST-A,UNKNOWN,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1008,demo-2026-09-19T12-00-00Z,9:TCK-1008,TCK-1008,attention,ATTENTION-DATA-QUALITY,CUST-B,P1,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1009,demo-2026-09-19T12-00-00Z,10:TCK-1009,TCK-1009,attention,ATTENTION-OPEN-BREACH,CUST-C,P2,waiting_customer,,,,,open ticket has at least one SLA breach; waiting_customer for 25.0h (threshold 24.0h from status_updated_at).,ATTENTION-OPEN-BREACH|ATTENTION-WAITING-CUSTOMER,2026-09-19T12:00:00+00:00
attention:TCK-1012,demo-2026-09-19T12-00-00Z,13:TCK-1012,TCK-1012,attention,ATTENTION-UNASSIGNED,CUST-E,P3,open,,,,,open ticket has an empty assigned_to field.,ATTENTION-UNASSIGNED,2026-09-19T12:00:00+00:00
attention:TCK-1013,demo-2026-09-19T12-00-00Z,14:TCK-1013,TCK-1013,attention,ATTENTION-DATA-QUALITY,CUST-B,P2,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1014,demo-2026-09-19T12-00-00Z,15:TCK-1014,TCK-1014,attention,ATTENTION-P1P2-CLOSED-BREACH,CUST-A,P1,resolved,,,,,closed/resolved P1/P2 ticket breached an SLA (historical).,ATTENTION-P1P2-CLOSED-BREACH,2026-09-19T12:00:00+00:00
attention:TCK-1015,demo-2026-09-19T12-00-00Z,16:TCK-1015,TCK-1015,attention,ATTENTION-APPROACHING-P1P2,CUST-C,P1,in_progress,,,,,P1/P2 deadline is approaching.,ATTENTION-APPROACHING-P1P2,2026-09-19T12:00:00+00:00
attention:TCK-1017,demo-2026-09-19T12-00-00Z,18:TCK-1017,TCK-1017,attention,ATTENTION-OPEN-BREACH,CUST-A,P2,waiting_customer,,,,,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,2026-09-19T12:00:00+00:00
attention:TCK-1019,demo-2026-09-19T12-00-00Z,20:TCK-1019,TCK-1019,attention,ATTENTION-DATA-QUALITY,CUST-B,P2,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1020,demo-2026-09-19T12-00-00Z,21:TCK-1020,TCK-1020,attention,ATTENTION-DATA-QUALITY,CUST-E,P4,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1020:row-22,demo-2026-09-19T12-00-00Z,22:TCK-1020,TCK-1020,attention,ATTENTION-DATA-QUALITY,CUST-E,P4,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1021,demo-2026-09-19T12-00-00Z,23:TCK-1021,TCK-1021,attention,ATTENTION-OPEN-BREACH,CUST-C,P1,open,,,,,open ticket has at least one SLA breach; open ticket has an empty assigned_to field.,ATTENTION-OPEN-BREACH|ATTENTION-UNASSIGNED,2026-09-19T12:00:00+00:00
attention:ROW-24,demo-2026-09-19T12-00-00Z,24:ROW-24,ROW-24,attention,ATTENTION-DATA-QUALITY,CUST-D,P3,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
attention:TCK-1024,demo-2026-09-19T12-00-00Z,27:TCK-1024,TCK-1024,attention,ATTENTION-DATA-QUALITY,CUST-C,UNKNOWN,open,,,,,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,2026-09-19T12:00:00+00:00
