ticket_key,ticket_id,ticket_id_instance,is_duplicate_ticket_id,csv_row_number,created_at,first_response_at,resolved_at,status_updated_at,priority_key,priority_raw,priority_normalized,status_key,status_raw,status_normalized,customer_id,assigned_to,ticket_type,category,summary,sla_eligible,response_sla_eligible,resolve_sla_eligible,is_open,is_closed,synthetic_flag
13,TCK-1012,1,0,13,2026-09-19T09:00:00+00:00,2026-09-19T11:00:00+00:00,,,P3,P3,P3,open,open,open,CUST-E,,request,access,Synthetic unassigned open P3,1,1,1,1,0,1
14,TCK-1013,1,0,14,,,,,P2,P2,P2,open,open,open,CUST-B,bob,incident,phishing,Synthetic unparseable created_at,0,0,0,1,0,1
15,TCK-1014,1,0,15,2026-09-19T06:00:00+00:00,2026-09-19T07:00:00+00:00,2026-09-19T09:00:00+00:00,,P1,P1,P1,resolved,resolved,resolved,CUST-A,alice,incident,malware,Synthetic P1 first response 1h after create (15m SLA),1,1,1,0,1,1
16,TCK-1015,1,0,16,2026-09-19T08:30:00+00:00,2026-09-19T08:35:00+00:00,,,P1,P1,P1,in_progress,in_progress,in_progress,CUST-C,cara,incident,ransomware,Synthetic P1 with 0.5h left on 4h resolve SLA,1,1,1,1,0,1
17,TCK-1016,1,0,17,2026-09-19T11:00:00+00:00,2026-09-19T11:10:00+00:00,,,P2,High,P2,investigating,investigating,investigating,CUST-E,erin,alert,ids,Synthetic P2 alias High; resolve remaining 7h (not approaching),1,1,1,1,0,1
18,TCK-1017,1,0,18,2026-09-18T12:00:00+00:00,2026-09-18T12:20:00+00:00,,,P2,P2,P2,waiting_customer,waiting_customer,waiting_customer,CUST-A,alice,incident,phishing,Synthetic waiting_customer without status_updated_at,1,1,1,1,0,1
19,TCK-1018,1,0,19,2026-09-19T07:00:00+00:00,2026-09-19T07:10:00+00:00,,,P3,P3,P3,closed,closed,closed,CUST-D,dana,request,hardening,Synthetic closed without resolved_at,1,1,0,0,1,1
20,TCK-1019,1,0,20,2026-09-19T09:00:00+00:00,2026-09-19T08:00:00+00:00,,,P2,P2,P2,open,open,open,CUST-B,bob,incident,malware,Synthetic first_response_at before created_at,0,0,0,1,0,1
21,TCK-1020,1,1,21,2026-09-15T12:00:00+00:00,2026-09-15T13:00:00+00:00,,,P4,Low,P4,open,open,open,CUST-E,erin,request,logging,Synthetic P4 alias Low; open 96h ageing backlog,0,0,0,1,0,1
22,TCK-1020,2,1,22,2026-09-19T10:00:00+00:00,,,,P4,P4,P4,open,open,open,CUST-E,erin,request,logging,Synthetic duplicate ticket_id of TCK-1020,0,0,0,1,0,1
23,TCK-1021,1,0,23,2026-09-19T04:00:00+00:00,,,,P1,Critical,P1,open,open,open,CUST-C,,incident,ransomware,Synthetic P1 alias Critical; unassigned and response-breached,1,1,1,1,0,1
24,ROW-24,1,0,24,2026-09-19T10:00:00+00:00,,,,P3,P3,P3,open,open,open,CUST-D,dana,alert,ids,Synthetic row with empty ticket_id,0,0,0,1,0,1
25,TCK-1022,1,0,25,2026-09-19T11:53:00+00:00,,,,P1,P1,P1,open,open,open,CUST-A,alice,alert,ids,Synthetic P1 created 7m ago; 8m remain on 15m response (warn band is last 7.5m),1,1,1,1,0,1
26,TCK-1023,1,0,26,2026-09-18T20:00:00+00:00,2026-09-18T21:00:00+00:00,,,P3,medium,P3,in_progress,in_progress,in_progress,CUST-B,bob,incident,vulnerability,Synthetic P3 alias medium; resolve remaining 8h (not approaching),1,1,1,1,0,1
27,TCK-1024,1,0,27,2026-09-19T06:00:00+00:00,,,,P5,P5,,open,open,open,CUST-C,cara,incident,unknown,Synthetic unknown priority P5 — not guessed,0,0,0,1,0,1
28,TCK-1025,1,0,28,2026-09-19T03:00:00+00:00,2026-09-19T03:20:00+00:00,2026-09-19T05:00:00+00:00,,P2,P2,P2,resolved,resolved,resolved,CUST-D,dana,incident,phishing,Synthetic P2 resolved on time (2h vs 8h),1,1,1,0,1,1
